gene_id	module_no	colors
ENSG00000107789	2	blue
ENSG00000107796	1	turquoise
ENSG00000107798	2	blue
ENSG00000107807	1	turquoise
ENSG00000107815	1	turquoise
ENSG00000107816	1	turquoise
ENSG00000107819	1	turquoise
ENSG00000107821	2	blue
ENSG00000107829	20	royalblue
ENSG00000107833	1	turquoise
ENSG00000107854	1	turquoise
ENSG00000107862	7	black
ENSG00000107863	19	lightyellow
ENSG00000107864	6	red
ENSG00000107872	2	blue
ENSG00000107874	3	brown
ENSG00000107882	1	turquoise
ENSG00000107890	1	turquoise
ENSG00000107897	4	yellow
ENSG00000107902	14	cyan
ENSG00000107929	7	black
ENSG00000107937	1	turquoise
ENSG00000107938	24	darkgrey
ENSG00000107949	3	brown
ENSG00000107951	1	turquoise
ENSG00000107954	4	yellow
ENSG00000107957	7	black
ENSG00000107959	11	greenyellow
ENSG00000107960	2	blue
ENSG00000107968	10	purple
ENSG00000108010	20	royalblue
ENSG00000108018	6	red
ENSG00000108021	1	turquoise
ENSG00000108039	13	salmon
ENSG00000108055	1	turquoise
ENSG00000108061	2	blue
ENSG00000108064	8	pink
ENSG00000108091	25	orange
ENSG00000108094	20	royalblue
ENSG00000108100	20	royalblue
ENSG00000108106	1	turquoise
ENSG00000108107	3	brown
ENSG00000108175	7	black
